date,covid_month,season,state,tests,cases,hospitalizations,deaths
2020-08-27,8,Summer,IN,22014,1145,142,7
2020-08-27,8,Summer,IA,7835,1551,0,16
2020-08-27,8,Summer,KS,0,0,0,0
2020-08-27,8,Summer,KY,9350,748,55,8
2020-08-27,8,Summer,LA,10036,677,0,23
2020-08-27,8,Summer,ME,3780,25,3,0
2020-08-27,8,Summer,MD,21475,577,51,5
2020-08-27,8,Summer,MA,52284,368,19,20
2020-08-27,8,Summer,MI,30717,863,0,16
2020-08-27,8,Summer,MN,21340,1154,52,13
2020-08-27,8,Summer,MS,4848,585,33,26
2020-08-27,8,Summer,MO,13011,1512,0,1
2020-08-27,8,Summer,MT,2399,144,10,0
2020-08-27,8,Summer,NE,5718,379,8,3
2020-08-27,8,Summer,NV,6499,554,0,21
2020-08-27,8,Summer,NH,4243,35,0,1
2020-08-27,8,Summer,NJ,27305,360,51,7
2020-08-27,8,Summer,NM,6146,188,17,9
2020-08-27,8,Summer,NY,83437,791,0,4
2020-08-27,8,Summer,NC,31132,2091,0,24
2020-08-27,8,Summer,ND,6614,332,9,1
2020-08-27,8,Summer,OH,26055,1244,107,32
2020-08-27,8,Summer,OK,8465,712,64,15
2020-08-27,8,Summer,OR,7918,180,25,5
2020-08-27,8,Summer,PA,23221,620,0,11
2020-08-27,8,Summer,RI,10549,135,7,3
2020-08-27,8,Summer,SC,7940,505,0,55
2020-08-27,8,Summer,SD,2619,343,2,0
2020-08-27,8,Summer,TN,25965,1826,74,25
2020-08-27,8,Summer,TX,43190,5600,0,265
2020-08-27,8,Summer,UT,6769,383,19,2
2020-08-27,8,Summer,VT,3472,11,0,0
2020-08-27,8,Summer,VA,0,0,65,0
2020-08-27,8,Summer,WA,11205,609,45,4
2020-08-27,8,Summer,WV,4157,93,0,9
2020-08-27,8,Summer,WI,17578,912,33,11
2020-08-27,8,Summer,WY,1262,38,2,0
2020-08-27,8,Summer,NA,0,0,0,0
2020-08-27,8,Summer,NA,2956,72,0,0
2020-08-27,8,Summer,NA,1002,112,0,1
2020-08-27,8,Summer,NA,619,0,0,0
2020-08-27,8,Summer,NA,459,459,0,8
2020-08-27,8,Summer,NA,231,22,0,0
2020-08-28,8,Summer,AL,7821,1162,262,31
2020-08-28,8,Summer,AK,3318,116,3,0
2020-08-28,8,Summer,AZ,14666,519,2,49
2020-08-28,8,Summer,AR,8027,838,38,17
2020-08-28,8,Summer,CA,92222,5329,0,140
2020-08-28,8,Summer,CO,12632,430,17,6
2020-08-28,8,Summer,CT,19270,145,0,0
2020-08-28,8,Summer,DE,3135,107,0,0
2020-08-28,8,Summer,FL,65264,3732,311,88
2020-08-28,8,Summer,GA,18147,2298,208,78
2020-08-28,8,Summer,HI,3682,306,18,4
2020-08-28,8,Summer,ID,2459,342,24,6
2020-08-28,8,Summer,IL,48383,2434,0,20
2020-08-28,8,Summer,IN,21724,809,71,11
2020-08-28,8,Summer,IA,5516,1185,0,12
2020-08-28,8,Summer,KS,8050,1111,52,6
2020-08-28,8,Summer,KY,11628,779,31,8
2020-08-28,8,Summer,LA,10275,606,0,30
2020-08-28,8,Summer,ME,5123,22,2,0
2020-08-28,8,Summer,MD,27502,601,43,14
2020-08-28,8,Summer,MA,44126,460,16,16
2020-08-28,8,Summer,MI,33342,793,0,6
2020-08-28,8,Summer,MN,15997,850,31,4
2020-08-28,8,Summer,MS,6244,599,12,14
2020-08-28,8,Summer,MO,15535,1418,0,14
2020-08-28,8,Summer,MT,2216,134,5,2
2020-08-28,8,Summer,NE,5973,374,14,5
2020-08-28,8,Summer,NV,6269,632,0,16
2020-08-28,8,Summer,NH,3959,22,0,1
2020-08-28,8,Summer,NJ,399,399,26,10
2020-08-28,8,Summer,NM,6911,122,15,3
2020-08-28,8,Summer,NY,97826,636,0,3
2020-08-28,8,Summer,NC,35721,1415,0,22
2020-08-28,8,Summer,ND,7514,307,16,0
